Sample in Buffer,Sample in Window,TRIGGER,UART_Transfer_i/clock_out_top_0/U0/fifo_count_slv[3:0],UART_Transfer_i/clock_out_top_0/U0/glitching_done,UART_Transfer_i/clock_out_top_0/U0/tdc_code[7:0],UART_Transfer_i/clock_out_top_0/U0/gpio_latched[15:0],UART_Transfer_i/clock_out_top_0/U0/display_ptr_slv[2:0],UART_Transfer_i/clock_out_top_0/U0/tdc_code_latched[7:0],UART_Transfer_i/clock_out_top_0/U0/glitch_fifo_debug[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
469,469,0,7,0,01,0000,5,01,0080
470,470,0,7,0,01,0000,5,01,0080
471,471,0,7,0,01,0000,5,01,0080
472,472,0,7,0,01,0000,5,01,0080
473,473,0,7,0,01,0000,5,01,0080
474,474,0,7,0,01,0000,5,01,0080
475,475,0,7,0,01,0000,5,01,0080
476,476,0,7,0,01,0000,5,01,0080
477,477,0,7,0,01,0000,5,01,0080
478,478,0,7,0,01,0000,5,01,0080
479,479,0,7,0,01,0000,5,01,0080
480,480,0,7,0,01,0000,5,01,0080
481,481,0,7,0,01,0000,5,01,0080
482,482,0,7,0,01,0000,5,01,0080
483,483,0,7,0,01,0000,5,01,0080
484,484,0,7,0,01,0000,5,01,0080
485,485,0,7,0,01,0000,5,01,0080
486,486,0,7,0,01,0000,5,01,0080
487,487,0,7,0,01,0000,5,01,0080
488,488,0,7,0,01,0000,5,01,0080
489,489,0,7,0,01,0000,5,01,0080
490,490,0,7,0,01,0000,5,01,0080
491,491,0,7,0,01,0000,5,01,0080
492,492,0,7,0,01,0000,5,01,0080
493,493,0,7,0,01,0000,5,01,0080
494,494,0,7,0,01,0000,5,01,0080
495,495,0,7,0,01,0000,5,01,0080
496,496,0,7,0,01,0000,5,01,0080
497,497,0,7,0,01,0000,5,01,0080
498,498,0,7,0,01,0000,5,01,0080
499,499,0,7,0,01,0000,5,01,0080
500,500,0,7,0,01,0000,5,01,0080
501,501,0,7,0,01,0000,5,01,0080
502,502,0,7,0,01,0000,5,01,0080
503,503,0,7,0,01,0000,5,01,0080
504,504,0,7,0,01,0000,5,01,0080
505,505,0,7,0,01,0000,5,01,0080
506,506,0,7,0,01,0000,5,01,0080
507,507,0,7,0,01,0000,5,01,0080
508,508,0,7,0,01,0000,5,01,0080
509,509,0,7,0,01,0000,5,01,0080
510,510,0,7,0,01,0000,5,01,0080
511,511,0,7,0,01,0000,5,01,0080
512,512,0,7,0,01,0000,5,01,0080
513,513,0,7,0,01,0000,5,01,0080
514,514,0,7,0,01,0000,5,01,0080
515,515,0,7,0,01,0000,5,01,0080
516,516,0,7,0,01,0000,5,01,0080
517,517,0,7,0,01,0000,5,01,0080
518,518,0,7,0,01,0000,5,01,0080
519,519,0,7,0,01,0000,5,01,0080
520,520,0,7,0,01,0000,5,01,0080
521,521,0,7,0,01,0000,5,01,0080
